disability_group,age,state,district,supply_class,average_payment_annual,participant_count
ABI,25 to 34,ACT,ACT,Core,106000,13
ABI,35 to 44,ACT,ACT,Capacity Building,71000,12
ABI,35 to 44,ACT,ACT,Core,224000,12
ABI,45 to 54,ACT,ACT,Capacity Building,61000,29
ABI,45 to 54,ACT,ACT,Core,192000,22
ABI,55 to 64,ACT,ACT,Capacity Building,84000,27
ABI,55 to 64,ACT,ACT,Core,255000,30
ABI,65+,ACT,ACT,Core,216000,19
Autism,0 to 6,ACT,ACT,Capacity Building,40000,118
Autism,0 to 6,ACT,ACT,Core,11000,147
Autism,15 to 18,ACT,ACT,Capacity Building,17000,322
Autism,15 to 18,ACT,ACT,Core,35000,174
Autism,19 to 24,ACT,ACT,Capacity Building,36000,263
Autism,19 to 24,ACT,ACT,Core,58000,186
Autism,25 to 34,ACT,ACT,Capacity Building,46000,135
Autism,25 to 34,ACT,ACT,Core,85000,110
Autism,35 to 44,ACT,ACT,Capacity Building,54000,57
Autism,35 to 44,ACT,ACT,Core,187000,46
Autism,45 to 54,ACT,ACT,Capacity Building,54000,31
Autism,45 to 54,ACT,ACT,Core,250000,17
Autism,7 to 14,ACT,ACT,Capacity Building,20000,938
Autism,7 to 14,ACT,ACT,Capital,7000,14
Autism,7 to 14,ACT,ACT,Core,17000,661
Cerebral Palsy,0 to 6,ACT,ACT,Core,2000,19
Cerebral Palsy,15 to 18,ACT,ACT,Capacity Building,46000,13
Cerebral Palsy,15 to 18,ACT,ACT,Core,72000,15
Cerebral Palsy,19 to 24,ACT,ACT,Capacity Building,69000,15
Cerebral Palsy,19 to 24,ACT,ACT,Core,92000,27
Cerebral Palsy,25 to 34,ACT,ACT,Capacity Building,112000,26
Cerebral Palsy,25 to 34,ACT,ACT,Core,221000,17
Cerebral Palsy,35 to 44,ACT,ACT,Capacity Building,97000,14
Cerebral Palsy,35 to 44,ACT,ACT,Core,199000,19
Cerebral Palsy,45 to 54,ACT,ACT,Capacity Building,71000,14
Cerebral Palsy,45 to 54,ACT,ACT,Core,292000,13
Cerebral Palsy,7 to 14,ACT,ACT,Capacity Building,35000,22
Cerebral Palsy,7 to 14,ACT,ACT,Core,110000,22
Developmental delay,0 to 6,ACT,ACT,Capacity Building,15000,441
Developmental delay,0 to 6,ACT,ACT,Core,3000,206
Developmental delay,7 to 14,ACT,ACT,Capacity Building,9000,121
Developmental delay,7 to 14,ACT,ACT,Core,8000,53
Down Syndrome,19 to 24,ACT,ACT,Capacity Building,110000,14
Down Syndrome,19 to 24,ACT,ACT,Core,43000,20
