Company,Value
Company A,0.3785
Company A,0.4076
Company A,0.3798
Company A,0.3864
Company A,0.3735
Company A,0.3889
Company A,0.3757
Company A,0.4232
Company A,0.3692
Company A,0.3767
Company A,0.3886
Company A,0.3841
Company A,0.3956
Company A,0.3703
Company A,0.3831
Company A,0.376
Company A,0.3554
Company A,0.3696
Company A,0.4267
Company A,0.3768
Company A,0.4261
Company A,0.3764
Company A,0.3797
Company A,0.3789
Company A,0.3452
Company A,0.3952
Company A,0.4244
Company A,0.3851
Company A,0.4083
Company A,0.3723
Company A,0.4031
Company A,0.3618
Company A,0.3863
Company A,0.3989
Company A,0.3776
Company A,0.3504
Company A,0.3644
Company A,0.3465
Company A,0.3866
Company A,0.356
Company A,0.3723
Company A,0.367
Company A,0.3992
Company A,0.3972
Company A,0.3778
Company A,0.4317
Company A,0.3392
Company A,0.4163
Company A,0.3836
Company A,0.4058
Company A,0.3629
Company A,0.3723
Company A,0.366
Company A,0.4172
Company A,0.3701
Company A,0.3869
Company A,0.3976
Company A,0.3426
Company A,0.3901
Company A,0.3767
Company A,0.3818
Company A,0.3765
Company A,0.392
Company A,0.346
Company A,0.3718
Company A,0.4049
Company A,0.4004
Company A,0.3945
Company A,0.3593
Company A,0.3744
Company A,0.3634
Company A,0.3575
Company A,0.4073
Company A,0.3773
Company A,0.4042
Company A,0.38
Company A,0.3687
Company A,0.3555
Company A,0.3758
Company A,0.3957
Company A,0.3951
Company A,0.3492
Company A,0.3955
Company A,0.3932
Company A,0.3799
Company A,0.3679
Company A,0.3726
Company A,0.3972
Company A,0.3892
Company A,0.3985
Company A,0.3453
Company A,0.4292
Company A,0.4109
Company A,0.3733
Company A,0.403
Company A,0.3698
Company A,0.3914
Company A,0.3555
Company A,0.3959
Company A,0.3806
Company A,0.4027
Company A,0.3823
Company A,0.3749
Company A,0.4005
Company A,0.3852
Company A,0.3838
Company A,0.3688
Company A,0.4115
Company A,0.395
Company A,0.3877
Company A,0.3914
Company A,0.3834
Company A,0.3949
Company A,0.3684
Company A,0.3397
Company A,0.4154
Company A,0.3914
Company A,0.4083
Company A,0.3786
Company A,0.3813
Company A,0.3912
Company A,0.3906
Company A,0.3909
Company A,0.3969
Company A,0.3685
Company A,0.393
Company A,0.4039
Company A,0.3402
Company A,0.3894
Company A,0.3738
Company A,0.3975
Company A,0.3534
Company A,0.4077
Company A,0.3962
Company A,0.3815
Company A,0.3856
Company A,0.3657
Company A,0.4135
Company A,0.3848
Company A,0.3678
Company A,0.3476
Company A,0.3865
Company A,0.376
Company A,0.3808
Company A,0.3495
Company A,0.3765
Company A,0.3608
Company A,0.4077
Company A,0.3713
Company A,0.4009
Company A,0.3877
Company A,0.3825
Company A,0.3581
Company A,0.4004
Company A,0.3923
Company A,0.3806
Company A,0.3574
Company A,0.3854
Company A,0.349
Company A,0.373
Company A,0.4138
Company A,0.3867
Company A,0.3871
Company A,0.4114
Company A,0.3887
Company A,0.4003
Company A,0.3853
Company A,0.3793
Company A,0.3546
Company A,0.3877
Company A,0.4082
Company A,0.3739
Company A,0.3764
Company A,0.3897
Company A,0.4175
Company A,0.4065
Company A,0.3836
Company A,0.3772
Company A,0.4067
Company A,0.4208
Company A,0.3676
Company A,0.359
Company A,0.3591
Company A,0.3492
